Date,Open,High,Low,Close,Volume
28/02/2020,885.47,887.07,872.46,882.19,241.89K
27/02/2020,892.15,899.34,889.14,898.44,163.29K
26/02/2020,901.51,903.27,894.25,895.97,142.58K
25/02/2020,893.95,909.67,893.95,909.67,221.12K
24/02/2020,917.49,917.49,903.34,903.34,291.88K
21/02/2020,938.13,940.53,932.32,933.09,206.75K
20/02/2020,933.69,938.13,930.41,938.13,198.34K
19/02/2020,926.41,931.66,925.86,928.76,192.17K
18/02/2020,934.47,934.98,926.01,927.93,187.76K
17/02/2020,938.52,938.52,931.66,934.77,183.25K
14/02/2020,939.28,940.65,936.47,937.45,204.35K
13/02/2020,937.19,939.1,934.47,938.24,177.73K
12/2/2020,940.72,943.11,937.34,937.68,228.04K
11/2/2020,930.73,936.04,930.73,934.67,179.35K
10/2/2020,934.38,935.87,926.61,930.73,153.97K
7/2/2020,938.61,943.48,935.94,940.75,194.17K
6/2/2020,926.66,938.54,925.21,938.54,223.67K
5/2/2020,934.75,936.33,921.89,925.91,197.38K
4/2/2020,929.42,934.91,919.33,929.09,197.69K
